real,id,item_num,condition,sm,demrep,funny,funnyDR,plausible,plausibleDR,familiar,familiarDR,concordant,concordantDR
0,584.0,2,2.0,0.0,2.0,2.941748,3.30303,2.271845,3.333333,2.834951,2.818182,4.067961,3.909091
1,584.0,2,2.0,1.0,2.0,2.781818,2.72093,4.872727,5.116279,2.8,2.627907,3.754545,3.930233
0,584.0,3,2.0,0.0,2.0,2.849558,2.911765,1.646018,1.823529,2.955752,2.911765,4.19469,4.029412
1,584.0,3,2.0,1.0,2.0,3.311321,3.65625,5.377358,5.625,2.320755,2.09375,3.754717,4.03125
0,584.0,4,2.0,1.0,2.0,2.268519,2.428571,2.046296,2.8,2.851852,2.8,4.222222,4.057143
1,584.0,4,2.0,1.0,2.0,2.690909,3.0,5.8,5.888889,2.263636,2.194444,4.063636,4.166667
0,584.0,5,2.0,0.0,2.0,3.823009,4.741935,2.20354,2.225806,2.840708,2.870968,3.99115,4.193548
1,584.0,5,2.0,1.0,2.0,3.46729,3.516129,4.682243,5.387097,2.663551,2.483871,3.831776,4.096774
0,584.0,6,2.0,1.0,2.0,3.954955,4.322581,1.603604,1.129032,2.936937,2.903226,1.711712,1.741935
1,584.0,6,2.0,1.0,2.0,3.698113,3.567568,4.962264,4.27027,2.509434,2.648649,2.09434,2.216216
0,584.0,7,2.0,1.0,2.0,3.564815,3.2,2.268519,2.171429,2.87037,2.8,1.722222,1.6
1,584.0,7,2.0,1.0,2.0,2.90566,2.823529,4.528302,3.588235,2.698113,2.735294,1.858491,1.882353
0,584.0,8,2.0,1.0,2.0,3.103774,2.828571,2.09434,1.714286,2.801887,2.742857,2.226415,2.142857
1,584.0,8,2.0,0.0,2.0,2.245283,2.666667,5.377358,5.066667,2.584906,2.566667,2.113208,2.533333
0,584.0,9,2.0,1.0,2.0,4.160377,4.387097,2.084906,1.645161,2.820755,2.83871,1.933962,1.677419
1,584.0,9,2.0,0.0,2.0,2.839286,2.589744,5.044643,4.282051,2.6875,2.74359,2.017857,2.025641
0,584.0,10,2.0,1.0,2.0,3.235294,2.78125,3.588235,2.90625,2.882353,2.8125,1.813725,1.71875
1,584.0,10,2.0,1.0,2.0,2.56,2.6,5.44,4.9,2.46,2.5,2.15,2.266667
0,586.0,1,1.0,0.0,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,586.0,1,1.0,0.0,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,586.0,2,1.0,0.0,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,586.0,2,1.0,1.0,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,586.0,3,1.0,0.0,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,586.0,3,1.0,0.6,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,586.0,4,1.0,0.6,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,586.0,4,1.0,0.6,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,586.0,5,1.0,0.0,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,586.0,5,1.0,0.0,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,586.0,6,1.0,0.0,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,586.0,6,1.0,0.4,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,586.0,7,1.0,0.4,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,586.0,7,1.0,0.0,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,586.0,8,1.0,0.0,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,586.0,8,1.0,0.8,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,586.0,9,1.0,0.8,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,586.0,9,1.0,0.8,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,586.0,10,1.0,0.0,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,586.0,10,1.0,0.6,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,587.0,1,1.0,0.8,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,587.0,1,1.0,0.2,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,587.0,2,1.0,0.8,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,587.0,2,1.0,0.6,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,587.0,3,1.0,0.8,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,587.0,3,1.0,0.8,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,587.0,4,1.0,0.8,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,587.0,4,1.0,0.6,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,587.0,5,1.0,0.8,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,587.0,5,1.0,0.6,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,587.0,6,1.0,1.0,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,587.0,6,1.0,0.8,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,587.0,7,1.0,0.8,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,587.0,7,1.0,0.8,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,587.0,8,1.0,1.0,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,587.0,8,1.0,0.4,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,587.0,9,1.0,0.8,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,587.0,9,1.0,1.0,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,587.0,10,1.0,1.0,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,587.0,10,1.0,1.0,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,589.0,1,3.0,0.8,2.0,2.790909,3.028571,2.372727,2.885714,2.890909,2.914286,4.081818,4.257143
1,589.0,1,3.0,0.2,2.0,2.61165,2.777778,4.902913,4.925926,2.873786,2.888889,3.951456,3.962963
0,589.0,2,3.0,1.0,2.0,2.941748,3.30303,2.271845,3.333333,2.834951,2.818182,4.067961,3.909091
1,589.0,2,3.0,0.6,2.0,2.781818,2.72093,4.872727,5.116279,2.8,2.627907,3.754545,3.930233
0,589.0,3,3.0,0.0,2.0,2.849558,2.911765,1.646018,1.823529,2.955752,2.911765,4.19469,4.029412
1,589.0,3,3.0,1.0,2.0,3.311321,3.65625,5.377358,5.625,2.320755,2.09375,3.754717,4.03125
0,589.0,4,3.0,1.0,2.0,2.268519,2.428571,2.046296,2.8,2.851852,2.8,4.222222,4.057143
1,589.0,4,3.0,1.0,2.0,2.690909,3.0,5.8,5.888889,2.263636,2.194444,4.063636,4.166667
0,589.0,5,3.0,1.0,2.0,3.823009,4.741935,2.20354,2.225806,2.840708,2.870968,3.99115,4.193548
1,589.0,5,3.0,1.0,2.0,3.46729,3.516129,4.682243,5.387097,2.663551,2.483871,3.831776,4.096774
0,589.0,6,3.0,0.2,2.0,3.954955,4.322581,1.603604,1.129032,2.936937,2.903226,1.711712,1.741935
1,589.0,6,3.0,0.4,2.0,3.698113,3.567568,4.962264,4.27027,2.509434,2.648649,2.09434,2.216216
0,589.0,7,3.0,0.0,2.0,3.564815,3.2,2.268519,2.171429,2.87037,2.8,1.722222,1.6
1,589.0,7,3.0,0.0,2.0,2.90566,2.823529,4.528302,3.588235,2.698113,2.735294,1.858491,1.882353
0,589.0,8,3.0,0.2,2.0,3.103774,2.828571,2.09434,1.714286,2.801887,2.742857,2.226415,2.142857
1,589.0,8,3.0,0.2,2.0,2.245283,2.666667,5.377358,5.066667,2.584906,2.566667,2.113208,2.533333
0,589.0,9,3.0,0.4,2.0,4.160377,4.387097,2.084906,1.645161,2.820755,2.83871,1.933962,1.677419
1,589.0,9,3.0,0.2,2.0,2.839286,2.589744,5.044643,4.282051,2.6875,2.74359,2.017857,2.025641
0,589.0,10,3.0,0.2,2.0,3.235294,2.78125,3.588235,2.90625,2.882353,2.8125,1.813725,1.71875
1,589.0,10,3.0,0.4,2.0,2.56,2.6,5.44,4.9,2.46,2.5,2.15,2.266667
0,592.0,1,1.0,0.6,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,592.0,1,1.0,0.0,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,592.0,2,1.0,0.4,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,592.0,2,1.0,0.0,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,592.0,3,1.0,0.4,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,592.0,3,1.0,1.0,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,592.0,4,1.0,0.4,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,592.0,4,1.0,0.6,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,592.0,5,1.0,0.0,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,592.0,5,1.0,0.2,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,592.0,6,1.0,0.8,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,592.0,6,1.0,0.2,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,592.0,7,1.0,0.2,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,592.0,7,1.0,0.2,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,592.0,8,1.0,1.0,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,592.0,8,1.0,0.8,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,592.0,9,1.0,0.2,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,592.0,9,1.0,0.6,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,592.0,10,1.0,0.2,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,592.0,10,1.0,0.4,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,594.0,1,3.0,0.8,2.0,2.790909,3.028571,2.372727,2.885714,2.890909,2.914286,4.081818,4.257143
1,594.0,1,3.0,0.8,2.0,2.61165,2.777778,4.902913,4.925926,2.873786,2.888889,3.951456,3.962963
0,594.0,2,3.0,0.8,2.0,2.941748,3.30303,2.271845,3.333333,2.834951,2.818182,4.067961,3.909091
1,594.0,2,3.0,0.8,2.0,2.781818,2.72093,4.872727,5.116279,2.8,2.627907,3.754545,3.930233
0,594.0,3,3.0,1.0,2.0,2.849558,2.911765,1.646018,1.823529,2.955752,2.911765,4.19469,4.029412
1,594.0,3,3.0,0.6,2.0,3.311321,3.65625,5.377358,5.625,2.320755,2.09375,3.754717,4.03125
0,594.0,4,3.0,0.6,2.0,2.268519,2.428571,2.046296,2.8,2.851852,2.8,4.222222,4.057143
1,594.0,4,3.0,0.6,2.0,2.690909,3.0,5.8,5.888889,2.263636,2.194444,4.063636,4.166667
0,594.0,5,3.0,0.6,2.0,3.823009,4.741935,2.20354,2.225806,2.840708,2.870968,3.99115,4.193548
1,594.0,5,3.0,1.0,2.0,3.46729,3.516129,4.682243,5.387097,2.663551,2.483871,3.831776,4.096774
0,594.0,6,3.0,0.8,2.0,3.954955,4.322581,1.603604,1.129032,2.936937,2.903226,1.711712,1.741935
1,594.0,6,3.0,0.8,2.0,3.698113,3.567568,4.962264,4.27027,2.509434,2.648649,2.09434,2.216216
0,594.0,7,3.0,0.8,2.0,3.564815,3.2,2.268519,2.171429,2.87037,2.8,1.722222,1.6
1,594.0,7,3.0,0.8,2.0,2.90566,2.823529,4.528302,3.588235,2.698113,2.735294,1.858491,1.882353
0,594.0,8,3.0,0.8,2.0,3.103774,2.828571,2.09434,1.714286,2.801887,2.742857,2.226415,2.142857
1,594.0,8,3.0,0.8,2.0,2.245283,2.666667,5.377358,5.066667,2.584906,2.566667,2.113208,2.533333
0,594.0,9,3.0,0.6,2.0,4.160377,4.387097,2.084906,1.645161,2.820755,2.83871,1.933962,1.677419
1,594.0,9,3.0,0.8,2.0,2.839286,2.589744,5.044643,4.282051,2.6875,2.74359,2.017857,2.025641
0,594.0,10,3.0,0.6,2.0,3.235294,2.78125,3.588235,2.90625,2.882353,2.8125,1.813725,1.71875
1,594.0,10,3.0,1.0,2.0,2.56,2.6,5.44,4.9,2.46,2.5,2.15,2.266667
0,595.0,1,1.0,0.8,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,595.0,1,1.0,0.0,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,595.0,2,1.0,0.6,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,595.0,2,1.0,0.4,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,595.0,3,1.0,0.6,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,595.0,3,1.0,0.4,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,595.0,4,1.0,0.2,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,595.0,4,1.0,0.8,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,595.0,5,1.0,0.2,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,595.0,5,1.0,0.2,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,595.0,6,1.0,1.0,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,595.0,6,1.0,0.4,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,595.0,7,1.0,0.6,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,595.0,7,1.0,0.4,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,595.0,8,1.0,0.6,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,595.0,8,1.0,0.4,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,595.0,9,1.0,1.0,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,595.0,9,1.0,0.4,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,595.0,10,1.0,0.6,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,595.0,10,1.0,0.8,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,597.0,1,3.0,0.0,2.0,2.790909,3.028571,2.372727,2.885714,2.890909,2.914286,4.081818,4.257143
1,597.0,1,3.0,0.0,2.0,2.61165,2.777778,4.902913,4.925926,2.873786,2.888889,3.951456,3.962963
0,597.0,2,3.0,0.0,2.0,2.941748,3.30303,2.271845,3.333333,2.834951,2.818182,4.067961,3.909091
1,597.0,2,3.0,0.2,2.0,2.781818,2.72093,4.872727,5.116279,2.8,2.627907,3.754545,3.930233
0,597.0,3,3.0,0.0,2.0,2.849558,2.911765,1.646018,1.823529,2.955752,2.911765,4.19469,4.029412
1,597.0,3,3.0,1.0,2.0,3.311321,3.65625,5.377358,5.625,2.320755,2.09375,3.754717,4.03125
0,597.0,4,3.0,0.0,2.0,2.268519,2.428571,2.046296,2.8,2.851852,2.8,4.222222,4.057143
1,597.0,4,3.0,0.4,2.0,2.690909,3.0,5.8,5.888889,2.263636,2.194444,4.063636,4.166667
0,597.0,5,3.0,0.0,2.0,3.823009,4.741935,2.20354,2.225806,2.840708,2.870968,3.99115,4.193548
1,597.0,5,3.0,0.8,2.0,3.46729,3.516129,4.682243,5.387097,2.663551,2.483871,3.831776,4.096774
0,597.0,6,3.0,0.0,2.0,3.954955,4.322581,1.603604,1.129032,2.936937,2.903226,1.711712,1.741935
1,597.0,6,3.0,0.4,2.0,3.698113,3.567568,4.962264,4.27027,2.509434,2.648649,2.09434,2.216216
0,597.0,7,3.0,0.0,2.0,3.564815,3.2,2.268519,2.171429,2.87037,2.8,1.722222,1.6
1,597.0,7,3.0,0.0,2.0,2.90566,2.823529,4.528302,3.588235,2.698113,2.735294,1.858491,1.882353
0,597.0,8,3.0,0.0,2.0,3.103774,2.828571,2.09434,1.714286,2.801887,2.742857,2.226415,2.142857
1,597.0,8,3.0,0.0,2.0,2.245283,2.666667,5.377358,5.066667,2.584906,2.566667,2.113208,2.533333
0,597.0,9,3.0,0.0,2.0,4.160377,4.387097,2.084906,1.645161,2.820755,2.83871,1.933962,1.677419
1,597.0,9,3.0,1.0,2.0,2.839286,2.589744,5.044643,4.282051,2.6875,2.74359,2.017857,2.025641
0,597.0,10,3.0,0.0,2.0,3.235294,2.78125,3.588235,2.90625,2.882353,2.8125,1.813725,1.71875
1,597.0,10,3.0,0.8,2.0,2.56,2.6,5.44,4.9,2.46,2.5,2.15,2.266667
0,599.0,1,2.0,0.2,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,599.0,1,2.0,0.0,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,599.0,2,2.0,0.0,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,599.0,2,2.0,0.8,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,599.0,3,2.0,0.0,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,599.0,3,2.0,0.8,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,599.0,4,2.0,0.0,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,599.0,4,2.0,0.6,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,599.0,5,2.0,0.0,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,599.0,5,2.0,0.6,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,599.0,6,2.0,0.0,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,599.0,6,2.0,0.6,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,599.0,7,2.0,0.0,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,599.0,7,2.0,0.6,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,599.0,8,2.0,0.2,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,599.0,8,2.0,0.8,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,599.0,9,2.0,0.0,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,599.0,9,2.0,0.8,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,599.0,10,2.0,0.2,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,599.0,10,2.0,0.8,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,605.0,1,4.0,0.8,2.0,2.790909,3.028571,2.372727,2.885714,2.890909,2.914286,4.081818,4.257143
1,605.0,1,4.0,0.6,2.0,2.61165,2.777778,4.902913,4.925926,2.873786,2.888889,3.951456,3.962963
0,605.0,2,4.0,0.6,2.0,2.941748,3.30303,2.271845,3.333333,2.834951,2.818182,4.067961,3.909091
1,605.0,2,4.0,0.0,2.0,2.781818,2.72093,4.872727,5.116279,2.8,2.627907,3.754545,3.930233
0,605.0,3,4.0,1.0,2.0,2.849558,2.911765,1.646018,1.823529,2.955752,2.911765,4.19469,4.029412
1,605.0,3,4.0,1.0,2.0,3.311321,3.65625,5.377358,5.625,2.320755,2.09375,3.754717,4.03125
0,605.0,4,4.0,0.2,2.0,2.268519,2.428571,2.046296,2.8,2.851852,2.8,4.222222,4.057143
1,605.0,4,4.0,1.0,2.0,2.690909,3.0,5.8,5.888889,2.263636,2.194444,4.063636,4.166667
0,605.0,5,4.0,0.4,2.0,3.823009,4.741935,2.20354,2.225806,2.840708,2.870968,3.99115,4.193548
1,605.0,5,4.0,0.8,2.0,3.46729,3.516129,4.682243,5.387097,2.663551,2.483871,3.831776,4.096774
0,605.0,6,4.0,0.4,2.0,3.954955,4.322581,1.603604,1.129032,2.936937,2.903226,1.711712,1.741935
1,605.0,6,4.0,0.6,2.0,3.698113,3.567568,4.962264,4.27027,2.509434,2.648649,2.09434,2.216216
0,605.0,7,4.0,0.4,2.0,3.564815,3.2,2.268519,2.171429,2.87037,2.8,1.722222,1.6
1,605.0,7,4.0,0.2,2.0,2.90566,2.823529,4.528302,3.588235,2.698113,2.735294,1.858491,1.882353
0,605.0,8,4.0,0.2,2.0,3.103774,2.828571,2.09434,1.714286,2.801887,2.742857,2.226415,2.142857
1,605.0,8,4.0,0.6,2.0,2.245283,2.666667,5.377358,5.066667,2.584906,2.566667,2.113208,2.533333
0,605.0,9,4.0,0.6,2.0,4.160377,4.387097,2.084906,1.645161,2.820755,2.83871,1.933962,1.677419
1,605.0,9,4.0,0.6,2.0,2.839286,2.589744,5.044643,4.282051,2.6875,2.74359,2.017857,2.025641
0,605.0,10,4.0,0.2,2.0,3.235294,2.78125,3.588235,2.90625,2.882353,2.8125,1.813725,1.71875
1,605.0,10,4.0,0.8,2.0,2.56,2.6,5.44,4.9,2.46,2.5,2.15,2.266667
0,606.0,1,2.0,0.8,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,606.0,1,2.0,0.0,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,606.0,2,2.0,0.0,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,606.0,2,2.0,0.0,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,606.0,3,2.0,0.0,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,606.0,3,2.0,0.0,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,606.0,4,2.0,0.0,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,606.0,4,2.0,1.0,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,606.0,5,2.0,0.2,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,606.0,5,2.0,0.0,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,606.0,6,2.0,0.8,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,606.0,6,2.0,1.0,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,606.0,7,2.0,1.0,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
1,606.0,7,2.0,1.0,1.0,2.90566,2.944444,4.528302,4.972222,2.698113,2.680556,4.141509,4.152778
0,606.0,8,2.0,0.8,1.0,3.103774,3.239437,2.09434,2.28169,2.801887,2.830986,3.773585,3.732394
1,606.0,8,2.0,0.0,1.0,2.245283,2.078947,5.377358,5.5,2.584906,2.592105,3.886792,4.052632
0,606.0,9,2.0,0.8,1.0,4.160377,4.066667,2.084906,2.266667,2.820755,2.813333,4.066038,3.96
1,606.0,9,2.0,1.0,1.0,2.839286,2.972603,5.044643,5.452055,2.6875,2.657534,3.982143,3.986301
0,606.0,10,2.0,1.0,1.0,3.235294,3.442857,3.588235,3.9,2.882353,2.914286,4.186275,4.142857
1,606.0,10,2.0,1.0,1.0,2.56,2.542857,5.44,5.671429,2.46,2.442857,3.85,3.9
0,607.0,1,3.0,0.8,1.0,2.790909,2.68,2.372727,2.133333,2.890909,2.88,1.9181819999999998,2.0
1,607.0,1,3.0,0.8,1.0,2.61165,2.552632,4.902913,4.894737,2.873786,2.868421,2.048544,2.052632
0,607.0,2,3.0,0.8,1.0,2.941748,2.771429,2.271845,1.771429,2.834951,2.842857,1.9320389999999996,1.8571429999999998
1,607.0,2,3.0,0.8,1.0,2.781818,2.820896,4.872727,4.716418,2.8,2.910448,2.245455,2.358209
0,607.0,3,3.0,0.8,1.0,2.849558,2.822785,1.646018,1.56962,2.955752,2.974684,1.8053100000000004,1.7341769999999999
1,607.0,3,3.0,0.8,1.0,3.311321,3.162162,5.377358,5.27027,2.320755,2.418919,2.245283,2.364865
0,607.0,4,3.0,0.8,1.0,2.268519,2.191781,2.046296,1.684932,2.851852,2.876712,1.7777779999999996,1.6986299999999996
1,607.0,4,3.0,0.8,1.0,2.690909,2.540541,5.8,5.756757,2.263636,2.297297,1.9363640000000002,1.9864860000000002
0,607.0,5,3.0,0.8,1.0,3.823009,3.47561,2.20354,2.195122,2.840708,2.829268,2.00885,2.085366
1,607.0,5,3.0,0.8,1.0,3.46729,3.447368,4.682243,4.394737,2.663551,2.736842,2.168224,2.276316
0,607.0,6,3.0,0.8,1.0,3.954955,3.8125,1.603604,1.7875,2.936937,2.95,4.288288,4.3
1,607.0,6,3.0,0.8,1.0,3.698113,3.768116,4.962264,5.333333,2.509434,2.434783,3.90566,3.971014
0,607.0,7,3.0,0.8,1.0,3.564815,3.739726,2.268519,2.315068,2.87037,2.90411,4.277778,4.219178
